Matrices ,Comparison,Z,P.unadj,P.adj
abundance,HIGH_RELIEF - LINEAR_REEF,,,
abundance,HIGH_RELIEF - PATCH_REEF,,,
abundance,LINEAR_REEF - PATCH_REEF,,,
biomass,HIGH_RELIEF - LINEAR_REEF,,,
biomass,HIGH_RELIEF - PATCH_REEF,,,
biomass,LINEAR_REEF - PATCH_REEF,,,
evenness,HIGH_RELIEF - LINEAR_REEF,,,
evenness,HIGH_RELIEF - PATCH_REEF,,,
evenness,LINEAR_REEF - PATCH_REEF,,,
richness,HIGH_RELIEF - LINEAR_REEF,23.28441868,6.38E-120,1.28E-119
richness,HIGH_RELIEF - PATCH_REEF,26.18712756,3.72E-151,1.12E-150
richness,LINEAR_REEF - PATCH_REEF,7.106212774,1.19E-12,1.19E-12
Shannon,HIGH_RELIEF - LINEAR_REEF,13.02218418,9.15E-39,2.75E-38
Shannon,HIGH_RELIEF - PATCH_REEF,6.384414381,1.72E-10,1.72E-10
Shannon,LINEAR_REEF - PATCH_REEF,-7.778255761,7.35E-15,1.47E-14
Simpson,HIGH_RELIEF - LINEAR_REEF,16.7198968,9.39E-63,2.82E-62
Simpson,HIGH_RELIEF - PATCH_REEF,10.85661218,1.86E-27,3.71E-27
Simpson,LINEAR_REEF - PATCH_REEF,-6.203727967,5.51E-10,5.51E-10
Functinoal,HIGH_RELIEF - LINEAR_REEF,17.08459945,1.93E-65,5.80E-65
Functinoal,HIGH_RELIEF - PATCH_REEF,5.247922306,1.54E-07,1.54E-07
Functinoal,LINEAR_REEF - PATCH_REEF,-14.65499483,1.25E-48,2.50E-48