,Family,Scientific_name,Common_name,abundance,percent
1,Pomacentridae,Stegastes partitus,Bicolor Damselfish,240660,12.44
2,Labridae,Thalassoma bifasciatum,Bluehead,224757,11.62
3,Gobiidae,Coryphopterus personatus,Masked Goby,198572,10.27
4,Haemulidae,Haemulon aurolineatum,Tomtate,121258,6.27
5,Haemulidae,Haemulon plumierii,White Grunt,93349,4.83
6,Scaridae,Scarus iseri,Striped Parrotfish,85971,4.45
7,Labridae,Halichoeres bivittatus,Slippery Dick,70782,3.66
8,Lutjanidae,Ocyurus chrysurus,Yellowtail Snapper,61876,3.20
9,Scaridae,Sparisoma aurofrenatum,Redband Parrotfish,51606,2.67
10,Haemulidae,Haemulon flavolineatum,French Grunt,49091,2.54
11,Haemulidae,Haemulon sciurus,Bluestriped Grunt,47240,2.44
12,Labridae,Halichoeres garnoti,Yellowhead Wrasse,41771,2.16
13,Acanthuridae,Acanthurus bahianus,Ocean Surgeon,39500,2.04
14,Labridae,Halichoeres maculipinna,Clown Wrasse,38021,1.97
15,Pomacentridae,Abudefduf saxatilis,Sergeant Major,37459,1.94
16,Carangidae,Caranx ruber,Bar Jack,36472,1.89
17,Acanthuridae,Acanthurus coeruleus,Blue Tang,35916,1.86
18,Pomacentridae,Chromis multilineata,Brown Chromis,31941,1.65
19,Labridae,Clepticus parrae,Creole Wrasse,30619,1.58
20,Lutjanidae,Lutjanus griseus,Gray Snapper,24296,1.26
21,Acanthuridae,Acanthurus chirurgus,Doctorfish,21175,1.09
22,Gobiidae,Coryphopterus glaucofraenum,Bridled Goby,19805,1.02
23,Pomacentridae,Chromis cyanea,Blue Chromis,19034,0.98
24,Scaridae,Sparisoma viride,Stoplight Parrotfish,17880,0.92
25,Haemulidae,Haemulon chrysargyreum,Smallmouth Grunt,13969,0.72
26,Kyphosidae,Kyphosus sectatrix,Bermuda Chub,13519,0.70
27,Lutjanidae,Lutjanus apodus,Schoolmaster,13099,0.68
28,Scaridae,Sparisoma atomarium,Greenblotch Parrotfish,11957,0.62
29,Labridae,Lachnolaimus maximus,Hogfish,11203,0.58
30,Haemulidae,Anisotremus virginicus,Porkfish,11102,0.57
31,Pomacentridae,Stegastes variabilis,Cocoa Damselfish,10447,0.54
32,Chaetodontidae,Chaetodon capistratus,Foureye Butterflyfish,7898,0.41
33,Haemulidae,Haemulon melanurum,Cottonwick,7613,0.39
34,Tetraodontidae,Canthigaster rostrata,Sharpnose Puffer,7441,0.38
35,Pomacanthidae,Pomacanthus arcuatus,Gray Angelfish,7426,0.38
36,Mullidae,Mulloidichthys martinicus,Yellow Goatfish,6454,0.33
37,Mullidae,Pseudupeneus maculatus,Spotted Goatfish,5938,0.31
38,Chaetodontidae,Chaetodon ocellatus,Spotfin Butterflyfish,5815,0.30
39,Pomacentridae,Chromis scotti,Purple Reeffish,5514,0.29
40,Scaridae,Sparisoma chrysopterum,Redtail Parrotfish,5504,0.28
41,Scaridae,Scarus taeniopterus,Princess Parrotfish,5430,0.28
42,Pomacentridae,Stegastes planifrons,Threespot Damselfish,5209,0.27
43,Lutjanidae,Lutjanus synagris,Lane Snapper,5036,0.26
44,Scaridae,Sparisoma rubripinne,Yellowtail Parrotfish,4895,0.25
45,Sparidae,Calamus calamus,Saucereye Porgy,4841,0.25
46,Pomacentridae,Stegastes adustus,Dusky Damselfish,4805,0.25
47,Chaetodontidae,Chaetodon sedentarius,Reef Butterflyfish,4500,0.23
48,Gobiidae,Elacatinus oceanops,Neon Goby,4417,0.23
49,Pomacanthidae,Holacanthus tricolor,Rock Beauty,4394,0.23
50,Labridae,Xyrichtys splendens,Green Razorfish,4379,0.23
51,Haemulidae,Haemulon carbonarium,Caesar Grunt,4379,0.23
52,Serranidae,Cephalopholis cruentata,Graysby,4306,0.22
53,Pomacentridae,Microspathodon chrysurus,Yellowtail Damselfish,4133,0.21
54,Serranidae,Hypoplectrus unicolor,Butter Hamlet,3981,0.21
55,Serranidae,Serranus tigrinus,Harlequin Bass,3968,0.21
56,Carangidae,Caranx crysos,Blue Runner,3935,0.20
57,Labridae,Halichoeres radiatus,Puddingwife,3903,0.20
58,Pomacentridae,Chromis insolata,Sunshinefish,3586,0.19
59,Labridae,Bodianus rufus,Spanish Hogfish,3463,0.18
60,Carangidae,Caranx bartholomaei,Yellow Jack,3432,0.18
61,Pomacentridae,Stegastes leucostictus,Beaugregory,3177,0.16
62,Haemulidae,Haemulon parra,Sailors Choice,3169,0.16
63,Gobiidae,Gnatholepis thompsoni,Goldspot Goby,3013,0.16
64,Pomacanthidae,Holacanthus ciliaris,Queen Angelfish,2882,0.15
65,Labridae,Halichoeres poeyi,Blackear Wrasse,2573,0.13
66,Opistognathidae,Opistognathus aurifrons,Yellowhead Jawfish,2502,0.13
67,Scaridae,Scarus coeruleus,Blue Parrotfish,2404,0.12
68,Lutjanidae,Lutjanus mahogoni,Mahogany Snapper,2166,0.11
69,Pomacanthidae,Pomacanthus paru,French Angelfish,2086,0.11
70,Scaridae,Cryptotomus roseus,Bluelip Parrotfish,2005,0.10
71,Scaridae,Scarus guacamaia,Rainbow Parrotfish,1983,0.10
72,Lutjanidae,Lutjanus analis,Mutton Snapper,1868,0.10
73,Scaridae,Scarus coelestinus,Midnight Parrotfish,1856,0.10
74,Scaridae,Scarus vetula,Queen Parrotfish,1827,0.09
75,Holocentridae,Holocentrus adscensionis,Squirrelfish,1809,0.09
76,Scaridae,Sparisoma radians,Bucktooth Parrotfish,1794,0.09
77,Ptereleotridae,Ptereleotris calliura,Blue Dartfish,1728,0.09
78,Chaetodontidae,Chaetodon striatus,Banded Butterflyfish,1634,0.08
79,Serranidae,Mycteroperca bonaci,Black Grouper,1599,0.08
80,Sphyraenidae,Sphyraena barracuda,Great Barracuda,1566,0.08
81,Pomacanthidae,Holacanthus bermudensis,Blue Angelfish,1507,0.08
82,Aulostomidae,Aulostomus maculatus,Atlantic Trumpetfish,1346,0.07
83,Serranidae,Epinephelus morio,Red Grouper,1216,0.06
84,Labrisomidae,Malacoctenus triangulatus,Saddled Blenny,1083,0.06
85,Sciaenidae,Pareques acuminatus,High Hat,1076,0.06
86,Scombridae,Scomberomorus regalis,Cero,1007,0.05
87,Haemulidae,Haemulon macrostomum,Spanish Grunt,1004,0.05
88,Pomacentridae,Stegastes diencaeus,Longfin Damselfish,894,0.05
89,Blenniidae,Parablennius marmoreus,Seaweed Blenny,862,0.04
90,Gobiidae,Coryphopterus dicrus,Colon Goby,812,0.04
91,Ostraciidae,Lactophrys triqueter,Smooth Trunkfish,763,0.04
92,Serranidae,Serranus tabacarius,Tobaccofish,743,0.04
93,Balistidae,Balistes capriscus,Gray Triggerfish,732,0.04
94,Monacanthidae,Aluterus scriptus,Scrawled Filefish,730,0.04
95,Holocentridae,Holocentrus rufus,Longspine Squirrelfish,720,0.04
96,Serranidae,Serranus baldwini,Lantern Bass,612,0.03
97,Labrisomidae,Malacoctenus macropus,Rosy Blenny,564,0.03
98,Haemulidae,Anisotremus surinamensis,Black Margate,499,0.03
99,Serranidae,Hypoplectrus gemma,Blue Hamlet,448,0.02
100,Urolophidae,Urobatis jamaicensis,Yellow Stingray,418,0.02
101,Serranidae,Cephalopholis fulva,Coney,407,0.02
102,Malacanthidae,Malacanthus plumieri,Sand Tilefish,395,0.02
103,Serranidae,Epinephelus adscensionis,Rock Hind,375,0.02
104,Serranidae,Hypoplectrus puella,Barred Hamlet,340,0.02
105,Monacanthidae,Monacanthus tuckeri,Slender Filefish,250,0.01
106,Ostraciidae,Acanthostracion quadricornis,Scrawled Cowfish,240,0.01
107,Muraenidae,Gymnothorax moringa,Spotted Moray,183,0.01
108,Diodontidae,Diodon holocanthus,Balloonfish,178,0.01